"","Pop_1","Pop_2","Pop_3"
"loc0614",0.3929,0.4286,0.5333
"loc0615",0.5,0.5,0.5
"loc0616",0.2321,0,0
"loc0617",0.3214,0,0.1
"loc0618",0.125,0.1429,0
"loc0619",0.2321,0,0
"loc0620",0.125,0.4286,0.4111
"loc0621",0.125,0.5,0.4111
"loc0622",0.125,0.5,0.4111
"loc0623",0.125,0.5,0.4111
"loc0624",0.125,0.5,0.4111
"loc0625",0.125,0.5,0.4111
"loc0626",0.125,0.5,0.4111
"loc0627",0.125,0.4524,0.4111
"loc0628",0.125,0.4524,0.4111
"loc0629",0,0.2619,0.1889
"loc0630",0.125,0.4524,0.4111
"loc0631",0,0.2619,0.1889
"loc0632",0.125,0.5,0.4111
"loc0633",0.125,0.5,0.4111
"loc0634",0.125,0.5,0.4111
"loc0635",0.125,0.1429,0.1
"loc0636",0.125,0.4524,0.4667
"loc0637",0.125,0.4524,0.4667
"loc0638",0,0,0.2
"loc0639",0.125,0.1429,0.2667
"loc0640",0,0.381,0.5
"loc0641",0.5,0.5238,0.5111
"loc0642",0.3929,0.5,0.4778
"loc0643",0,0.1429,0.2667
"loc0644",0,0.1429,0.5333
"loc0645",0.2321,0.4524,0.1
"loc0646",0.3214,0,0
"loc0647",0,0.2857,0
"loc0648",0,0.2619,0.4
"loc0649",0.125,0.2619,0.3333
"loc0650",0.125,0,0.1
"loc0651",0.4464,0.5238,0.5222
"loc0652",0,0.2619,0.1
"loc0653",0,0.1429,0.1
"loc0654",0.3929,0.1429,0.3333
"loc0655",0.5,0.4762,0.4778
"loc0656",0.125,0.2619,0.4889
"loc0657",0.3214,0,0.3889
"loc0658",0.125,0,0.3333
"loc0659",0.3929,0,0.2667
"loc0660",0,0,0.1889
"loc0661",0.5,0.2619,0.4
"loc0662",0.5,0.4524,0.4444
"loc0663",0.3214,0.1429,0.1889
"loc0664",0,0.1429,0.1889
"loc0665",0.125,0,0.2667
"loc0666",0.125,0,0.1
"loc0667",0.125,0,0.1889
"loc0668",0.5,0.5476,0.4333
"loc0669",0.2321,0,0.1889
"loc0670",0.2321,0,0.1889
"loc0671",0.2321,0.2619,0.2667
"loc0672",0.3393,0.3571,0
"loc0673",0.125,0.1429,0
"loc0674",0.2321,0,0.1
"loc0675",0.2321,0,0
"loc0676",0.5179,0.4524,0.5222
"loc0677",0.125,0,0.1
"loc0678",0.5,0.4286,0.3333
"loc0679",0.5,0.5238,0.5222
"loc0680",0.125,0,0.1
"loc0681",0.2321,0.381,0.4556
"loc0682",0.2321,0.1429,0.1889
"loc0683",0,0,0.2778
"loc0684",0.125,0.1429,0.1
"loc0685",0,0.2619,0
"loc0686",0.4107,0,0
"loc0687",0.5536,0.381,0.2778
"loc0688",0.125,0.1429,0.1
"loc0689",0.125,0,0.5111
"loc0690",0.125,0.1429,0.1
"loc0691",0,0.1429,0.1
"loc0692",0,0.5476,0.1
"loc0693",0,0.4524,0
"loc0694",0.4464,0,0.3444
"loc0695",0.3214,0.381,0.3333
"loc0696",0.3929,0.4286,0.3333
"loc0697",0.125,0.1429,0
"loc0698",0.125,0.1429,0.1
"loc0699",0.4464,0.2619,0.4667
"loc0700",0.2321,0.2619,0.3333
"loc0701",0.125,0.1429,0.1
"loc0702",0,0.1429,0.2
"loc0703",0.125,0.3571,0
"loc0704",0.125,0.2619,0
"loc0705",0.4821,0.2619,0.5111
"loc0706",0.5179,0.5,0.3889
"loc0707",0.3929,0.3571,0.4556
"loc0708",0.3214,0.5238,0.1889
"loc0709",0.5357,0.5,0.5
"loc0710",0.125,0,0.1
"loc0711",0.4464,0.5,0.4889
"loc0712",0.2321,0.4762,0.4667
"loc0713",0.5357,0.5476,0.5222
"loc0714",0.2321,0,0.1
"loc0715",0,0.2619,0.2667
